scenario_id,policy,route_id,month,type_id,roundtrips
p80-f50-h6,optimized,11109,1,629,0
p80-f50-h6,optimized,11109,1,631,79
p80-f50-h6,optimized,11109,1,673,64
p80-f50-h6,optimized,11109,2,629,0
p80-f50-h6,optimized,11109,2,631,123
p80-f50-h6,optimized,11109,2,673,8
p80-f50-h6,optimized,11109,3,629,0
p80-f50-h6,optimized,11109,3,631,91
p80-f50-h6,optimized,11109,3,673,57
p80-f50-h6,optimized,11109,4,629,0
p80-f50-h6,optimized,11109,4,631,144
p80-f50-h6,optimized,11109,4,673,0
p80-f50-h6,optimized,11109,5,629,0
p80-f50-h6,optimized,11109,5,631,98
p80-f50-h6,optimized,11109,5,673,61
p80-f50-h6,optimized,11109,6,629,0
p80-f50-h6,optimized,11109,6,631,83
p80-f50-h6,optimized,11109,6,673,79
p80-f50-h6,optimized,11109,7,629,0
p80-f50-h6,optimized,11109,7,631,174
p80-f50-h6,optimized,11109,7,673,0
p80-f50-h6,optimized,11109,8,629,0
p80-f50-h6,optimized,11109,8,631,123
p80-f50-h6,optimized,11109,8,673,45
p80-f50-h6,optimized,11109,9,629,0
p80-f50-h6,optimized,11109,9,631,10
p80-f50-h6,optimized,11109,9,673,146
p80-f50-h6,optimized,11109,10,629,0
p80-f50-h6,optimized,11109,10,631,51
p80-f50-h6,optimized,11109,10,673,101
p80-f50-h6,optimized,11109,11,629,0
p80-f50-h6,optimized,11109,11,631,73
p80-f50-h6,optimized,11109,11,673,52
p80-f50-h6,optimized,11109,12,629,0
p80-f50-h6,optimized,11109,12,631,4
p80-f50-h6,optimized,11109,12,673,169
p80-f50-h6,optimized,10372,1,631,0
p80-f50-h6,optimized,10372,1,673,169
p80-f50-h6,optimized,10372,2,631,0
p80-f50-h6,optimized,10372,2,673,152
p80-f50-h6,optimized,10372,3,631,0
p80-f50-h6,optimized,10372,3,673,187
p80-f50-h6,optimized,10372,4,631,0
p80-f50-h6,optimized,10372,4,673,138
p80-f50-h6,optimized,10372,5,631,0
p80-f50-h6,optimized,10372,5,673,18
