scenario_id,passenger_multiplier,frequency_fraction,daily_operating_hours,optimized_fleet,baseline_fleet,fleet_difference,optimized_roundtrips,baseline_roundtrips,optimized_minutes,baseline_minutes,optimized_type_629,optimized_type_631,optimized_type_673
p80-f50-h6,0.8,0.5,6,22,27,5,9998,11431,2294563,2619352,0,5,17
p80-f50-h8,0.8,0.5,8,17,20,3,9998,11431,2294185,2619352,0,4,13
p80-f50-h10,0.8,0.5,10,14,17,3,9998,11431,2293276,2619352,0,4,10
p80-f75-h6,0.8,0.75,6,27,29,2,12812,12838,2850407,2918473,0,21,6
p80-f75-h8,0.8,0.75,8,20,22,2,12812,12838,2850743,2918473,0,15,5
p80-f75-h10,0.8,0.75,10,16,18,2,12812,12838,2850743,2918473,0,12,4
p80-f100-h6,0.8,1.0,6,35,38,3,17040,17040,3789724,3870830,0,29,6
p80-f100-h8,0.8,1.0,8,27,29,2,17040,17040,3789410,3870830,0,23,4
p80-f100-h10,0.8,1.0,10,21,23,2,17040,17040,3789764,3870830,0,18,3
p100-f50-h6,1.0,0.5,6,28,33,5,12330,14275,2852119,3271085,0,5,23
p100-f50-h8,1.0,0.5,8,21,25,4,12330,14275,2852225,3271085,0,3,18
p100-f50-h10,1.0,0.5,10,17,20,3,12330,14275,2851999,3271085,0,3,14
p100-f75-h6,1.0,0.75,6,29,33,4,13391,14311,3016876,3277709,0,13,16
p100-f75-h8,1.0,0.75,8,22,25,3,13391,14311,3016702,3277709,0,10,12
p100-f75-h10,1.0,0.75,10,18,20,2,13391,14311,3016430,3277709,0,8,10
p100-f100-h6,1.0,1.0,6,35,38,3,17040,17040,3789724,3870830,0,29,6
p100-f100-h8,1.0,1.0,8,27,29,2,17040,17040,3789410,3870830,0,23,4
p100-f100-h10,1.0,1.0,10,21,23,2,17040,17040,3789764,3870830,0,18,3
p120-f50-h6,1.2,0.5,6,33,39,6,14775,17119,3423133,3923114,0,2,31
p120-f50-h8,1.2,0.5,8,25,30,5,14775,17119,3422480,3923114,0,2,23
p120-f50-h10,1.2,0.5,10,20,25,5,14775,17119,3423815,3923114,0,1,19
p120-f75-h6,1.2,0.75,6,33,39,6,14976,17127,3444547,3924634,0,5,28
p120-f75-h8,1.2,0.75,8,25,30,5,14976,17127,3443640,3924634,0,4,21
p120-f75-h10,1.2,0.75,10,20,25,5,14976,17127,3444547,3924634,0,3,17
p120-f100-h6,1.2,1.0,6,37,39,2,17252,17639,3857245,4027407,0,22,15
p120-f100-h8,1.2,1.0,8,28,30,2,17252,17639,3857200,4027407,0,17,11
p120-f100-h10,1.2,1.0,10,22,25,3,17252,17639,3857386,4027407,0,13,9
