variant,date,budget,touch_limit,policy,residual,forecast_residual_num,forecast_residual,worst_station_residual,moves,touched,unused_budget,net_flow_bound,feasible
primary_24h,2026-03-02,0,0,no_action,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,0,greedy,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,0,optimized,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,0,oracle,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,1,no_action,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,1,greedy,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,1,optimized,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,1,oracle,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,2,no_action,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,2,greedy,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,2,optimized,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,2,oracle,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,5,no_action,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,5,greedy,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,5,optimized,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,5,oracle,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,10,no_action,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,10,greedy,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,10,optimized,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,10,oracle,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,20,no_action,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,20,greedy,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,20,optimized,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,20,oracle,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,40,no_action,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,40,greedy,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,40,optimized,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,0,40,oracle,6002,339280,5654.666666666667,192,0,0,0,226,True
primary_24h,2026-03-02,50,0,no_action,6002,339280,5654.666666666667,192,0,0,50,226,True
