week_start,split,StockCode,primary_units,deduplicated_units,same_week_reversal_units,training_p99_capped_units
2009-12-07,train,15036,91,91,91,91
2009-12-07,train,16014,1510,1510,1510,1510
2009-12-07,train,17003,192,192,192,192
2009-12-07,train,20725,314,314,314,314
2009-12-07,train,21212,1075,1073,1075,1075
2009-12-07,train,21213,170,170,170,170
2009-12-07,train,21232,988,987,988,988
2009-12-07,train,21977,390,390,390,390
2009-12-07,train,21980,380,380,380,380
2009-12-07,train,21982,9,9,9,9
2009-12-07,train,21984,132,132,132,132
2009-12-07,train,22086,663,663,663,663
2009-12-07,train,22178,321,321,321,321
2009-12-07,train,22197,141,141,141,141
2009-12-07,train,22386,0,0,0,0
2009-12-07,train,71459,25,25,25,25
2009-12-07,train,84077,1204,1204,1204,1204
2009-12-07,train,84270,453,423,453,453
2009-12-07,train,84347,37,37,37,37
2009-12-07,train,84568,25,25,25,25
2009-12-07,train,84598,11,11,11,11
2009-12-07,train,84755,245,245,245,245
2009-12-07,train,84879,1189,1189,1189,1109
2009-12-07,train,84946,1241,1241,1241,1097
2009-12-07,train,84991,486,486,486,486
2009-12-07,train,84992,225,225,225,225
2009-12-07,train,85099B,1233,1233,1233,1033
2009-12-07,train,85099C,683,683,683,683
2009-12-07,train,85099F,388,388,388,388
2009-12-07,train,85123A,3046,3045,3046,1966
2009-12-14,train,15036,63,63,63,63
2009-12-14,train,16014,3010,3010,3010,3010
2009-12-14,train,17003,425,425,425,425
2009-12-14,train,20725,236,236,236,236
2009-12-14,train,21212,1567,1567,1567,1327
2009-12-14,train,21213,361,361,361,361
2009-12-14,train,21232,1240,1240,1240,1240
2009-12-14,train,21977,193,193,193,193
2009-12-14,train,21980,189,189,189,189
2009-12-14,train,21982,2,2,2,2
2009-12-14,train,21984,135,135,135,135
2009-12-14,train,22086,572,571,572,452
2009-12-14,train,22178,254,254,254,254
2009-12-14,train,22197,584,584,584,584
2009-12-14,train,22386,0,0,0,0
2009-12-14,train,71459,184,184,184,184
2009-12-14,train,84077,720,720,720,720
2009-12-14,train,84270,360,360,360,360
2009-12-14,train,84347,9,9,9,9
2009-12-14,train,84568,376,376,376,376
2009-12-14,train,84598,346,346,346,346
2009-12-14,train,84755,84,84,84,84
2009-12-14,train,84879,1308,1308,1308,1308
2009-12-14,train,84946,454,454,454,454
2009-12-14,train,84991,308,308,308,308
2009-12-14,train,84992,309,309,309,309
2009-12-14,train,85099B,1254,1254,1254,1154
2009-12-14,train,85099C,137,137,137,137
2009-12-14,train,85099F,251,251,251,251
2009-12-14,train,85123A,1258,1255,1258,1258
2009-12-21,train,15036,103,103,103,103
2009-12-21,train,16014,0,0,0,0
2009-12-21,train,17003,1,1,1,1
2009-12-21,train,20725,11,11,11,11
2009-12-21,train,21212,524,524,524,284
2009-12-21,train,21213,485,485,485,485
2009-12-21,train,21232,23,23,23,23
2009-12-21,train,21977,6,6,6,6
2009-12-21,train,21980,433,433,433,433
2009-12-21,train,21982,0,0,0,0
2009-12-21,train,21984,0,0,0,0
2009-12-21,train,22086,69,69,69,69
2009-12-21,train,22178,3,3,3,3
2009-12-21,train,22197,2,2,2,2
2009-12-21,train,22386,0,0,0,0
2009-12-21,train,71459,0,0,0,0
2009-12-21,train,84077,48,48,48,48
2009-12-21,train,84270,3,3,3,3
2009-12-21,train,84347,11,11,11,11
2009-12-21,train,84568,34,34,34,34
2009-12-21,train,84598,9,9,9,9
2009-12-21,train,84755,17,17,17,17
2009-12-21,train,84879,50,50,50,50
2009-12-21,train,84946,48,48,48,48
2009-12-21,train,84991,5,5,5,5
2009-12-21,train,84992,484,484,484,244
2009-12-21,train,85099B,16,16,16,16
2009-12-21,train,85099C,10,10,10,10
2009-12-21,train,85099F,1,1,1,1
2009-12-21,train,85123A,128,127,128,128
2009-12-28,train,15036,0,0,0,0
2009-12-28,train,16014,0,0,0,0
2009-12-28,train,17003,0,0,0,0
2009-12-28,train,20725,0,0,0,0
2009-12-28,train,21212,0,0,0,0
2009-12-28,train,21213,0,0,0,0
2009-12-28,train,21232,0,0,0,0
2009-12-28,train,21977,0,0,0,0
2009-12-28,train,21980,0,0,0,0
2009-12-28,train,21982,0,0,0,0
2009-12-28,train,21984,0,0,0,0
2009-12-28,train,22086,0,0,0,0
2009-12-28,train,22178,0,0,0,0
2009-12-28,train,22197,0,0,0,0
2009-12-28,train,22386,0,0,0,0
2009-12-28,train,71459,0,0,0,0
2009-12-28,train,84077,0,0,0,0
2009-12-28,train,84270,0,0,0,0
2009-12-28,train,84347,0,0,0,0
2009-12-28,train,84568,0,0,0,0
2009-12-28,train,84598,0,0,0,0
