week,factor,priority,budget,policy,allocated,shortfall,leftover,loss,coverage,unused,expected_loss
2011-06-27,0.5,0.5,5158,scenario,5158,1399,1071,1235.0,0.7449872402479037,0,2823.75
2011-06-27,0.5,0.5,5158,mean,5158,1646,1318,1482.0,0.6999635435654393,0,3122.2115384615386
2011-06-27,0.5,0.5,5158,seasonal,5158,2483,2155,2319.0,0.54739336492891,0,3403.75
2011-06-27,0.5,0.5,5158,equal,5158,2103,1775,1939.0,0.6166605905942398,0,3764.1346153846152
2011-06-27,0.5,0.5,5158,hindsight,5158,328,0,164.0,0.940211447320452,0,3446.0576923076924
2011-06-27,0.5,0.8,5158,scenario,5158,1399,1071,1333.4,0.7449872402479037,0,4036.0615384615385
2011-06-27,0.5,0.8,5158,mean,5158,1646,1318,1580.4,0.6999635435654393,0,4334.523076923077
2011-06-27,0.5,0.8,5158,seasonal,5158,2483,2155,2417.4,0.54739336492891,0,4616.0615384615385
2011-06-27,0.5,0.8,5158,equal,5158,2103,1775,2037.4,0.6166605905942398,0,4976.446153846154
2011-06-27,0.5,0.8,5158,hindsight,5158,328,0,262.4,0.940211447320452,0,4658.369230769231
2011-06-27,0.5,0.95,5158,scenario,5158,1399,1071,1382.6,0.7449872402479037,0,4642.217307692307
2011-06-27,0.5,0.95,5158,mean,5158,1646,1318,1629.6,0.6999635435654393,0,4940.678846153846
2011-06-27,0.5,0.95,5158,seasonal,5158,2483,2155,2466.6,0.54739336492891,0,5222.217307692307
2011-06-27,0.5,0.95,5158,equal,5158,2103,1775,2086.6,0.6166605905942398,0,5582.601923076923
2011-06-27,0.5,0.95,5158,hindsight,5158,328,0,311.6,0.940211447320452,0,5264.525
2011-06-27,0.75,0.5,7736,scenario,6321,1057,1892,1474.5,0.8073277433467007,1415,2739.903846153846
2011-06-27,0.75,0.5,7736,mean,7736,783,3033,1908.0,0.8572730586948596,0,3057.2115384615386
2011-06-27,0.75,0.5,7736,seasonal,7736,1857,4107,2982.0,0.6615020051039009,0,3510.1346153846152
2011-06-27,0.75,0.5,7736,equal,7736,1034,3284,2159.0,0.8115202333211812,0,3885.7115384615386
2011-06-27,0.75,0.5,7736,hindsight,5486,0,0,0.0,1.0,2250,3326.596153846154
2011-06-27,0.75,0.8,7736,scenario,7736,841,3091,1291.0,0.8467006926722567,0,3216.2
2011-06-27,0.75,0.8,7736,mean,7736,783,3033,1233.0,0.8572730586948596,0,3496.123076923077
2011-06-27,0.75,0.8,7736,seasonal,7736,1857,4107,2307.0,0.6615020051039009,0,3949.0461538461536
2011-06-27,0.75,0.8,7736,equal,7736,1034,3284,1484.0,0.8115202333211812,0,4324.623076923077
2011-06-27,0.75,0.8,7736,hindsight,5486,0,0,0.0,1.0,2250,4440.507692307692
