scenario_id,staff,cross_trained_percent,capacity_percent,policy,cumulativeBacklog,endingBacklog,totalProcessed,unusedCapacity,meanWorstShare,worstShare,oldestAge,reallocated
0-0-75,0,0,75,fixed,238090,36319,0,0,1.0,1.0,11,0
0-0-75,0,0,75,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-0-75,0,0,75,optimized,238090,36319,0,0,1.0,1.0,11,0
0-0-75,0,0,75,hindsight,238090,36319,0,0,1.0,1.0,11,0
0-0-100,0,0,100,fixed,238090,36319,0,0,1.0,1.0,11,0
0-0-100,0,0,100,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-0-100,0,0,100,optimized,238090,36319,0,0,1.0,1.0,11,0
0-0-100,0,0,100,hindsight,238090,36319,0,0,1.0,1.0,11,0
0-0-125,0,0,125,fixed,238090,36319,0,0,1.0,1.0,11,0
0-0-125,0,0,125,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-0-125,0,0,125,optimized,238090,36319,0,0,1.0,1.0,11,0
0-0-125,0,0,125,hindsight,238090,36319,0,0,1.0,1.0,11,0
0-25-75,0,25,75,fixed,238090,36319,0,0,1.0,1.0,11,0
0-25-75,0,25,75,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-25-75,0,25,75,optimized,238090,36319,0,0,1.0,1.0,11,0
0-25-75,0,25,75,hindsight,238090,36319,0,0,1.0,1.0,11,0
0-25-100,0,25,100,fixed,238090,36319,0,0,1.0,1.0,11,0
0-25-100,0,25,100,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-25-100,0,25,100,optimized,238090,36319,0,0,1.0,1.0,11,0
0-25-100,0,25,100,hindsight,238090,36319,0,0,1.0,1.0,11,0
0-25-125,0,25,125,fixed,238090,36319,0,0,1.0,1.0,11,0
0-25-125,0,25,125,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-25-125,0,25,125,optimized,238090,36319,0,0,1.0,1.0,11,0
0-25-125,0,25,125,hindsight,238090,36319,0,0,1.0,1.0,11,0
0-50-75,0,50,75,fixed,238090,36319,0,0,1.0,1.0,11,0
0-50-75,0,50,75,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-50-75,0,50,75,optimized,238090,36319,0,0,1.0,1.0,11,0
0-50-75,0,50,75,hindsight,238090,36319,0,0,1.0,1.0,11,0
0-50-100,0,50,100,fixed,238090,36319,0,0,1.0,1.0,11,0
0-50-100,0,50,100,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-50-100,0,50,100,optimized,238090,36319,0,0,1.0,1.0,11,0
0-50-100,0,50,100,hindsight,238090,36319,0,0,1.0,1.0,11,0
0-50-125,0,50,125,fixed,238090,36319,0,0,1.0,1.0,11,0
0-50-125,0,50,125,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-50-125,0,50,125,optimized,238090,36319,0,0,1.0,1.0,11,0
0-50-125,0,50,125,hindsight,238090,36319,0,0,1.0,1.0,11,0
0-100-75,0,100,75,fixed,238090,36319,0,0,1.0,1.0,11,0
0-100-75,0,100,75,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-100-75,0,100,75,optimized,238090,36319,0,0,1.0,1.0,11,0
0-100-75,0,100,75,hindsight,238090,36319,0,0,1.0,1.0,11,0
0-100-100,0,100,100,fixed,238090,36319,0,0,1.0,1.0,11,0
0-100-100,0,100,100,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-100-100,0,100,100,optimized,238090,36319,0,0,1.0,1.0,11,0
0-100-100,0,100,100,hindsight,238090,36319,0,0,1.0,1.0,11,0
0-100-125,0,100,125,fixed,238090,36319,0,0,1.0,1.0,11,0
0-100-125,0,100,125,adaptive,238090,36319,0,0,1.0,1.0,11,0
0-100-125,0,100,125,optimized,238090,36319,0,0,1.0,1.0,11,0
0-100-125,0,100,125,hindsight,238090,36319,0,0,1.0,1.0,11,0
24-0-75,24,0,75,fixed,170230,25879,10440,0,0.9353170458748005,0.9753197217859547,9,0
