week_start_utc,split,billing,technical,privacy
2025-01-06,training,1418,1331,138
2025-01-13,training,1550,1292,116
2025-01-20,training,1447,1174,141
2025-01-27,training,1352,1241,133
2025-02-03,training,1371,1340,154
2025-02-10,training,1453,1128,139
2025-02-17,training,1396,1138,150
2025-02-24,training,1290,1133,143
2025-03-03,training,1379,1087,117
2025-03-10,training,1552,1095,141
2025-03-17,training,1355,1098,129
2025-03-24,training,1321,1113,121
2025-03-31,training,1321,1125,128
2025-04-07,training,1207,1088,129
2025-04-14,training,1299,1103,123
2025-04-21,training,1315,1291,132
2025-04-28,validation,1369,1331,123
2025-05-05,validation,1316,1416,132
2025-05-12,validation,1427,1550,127
2025-05-19,validation,1402,1467,152
2025-05-26,validation,1340,1394,138
2025-06-02,validation,1440,1460,150
2025-06-09,validation,1451,1364,136
2025-06-16,validation,1278,1395,143
2025-06-23,test,1510,1591,152
2025-06-30,test,1238,1356,123
2025-07-07,test,1572,1490,128
2025-07-14,test,1393,1449,134
2025-07-21,test,1441,1416,146
2025-07-28,test,1549,1452,158
2025-08-04,test,1592,1516,172
2025-08-11,test,1442,1502,151
2025-08-18,test,1442,1369,165
2025-08-25,test,1489,1275,130
2025-09-01,test,1465,1258,106
2025-09-08,test,1506,1327,114
