scenario_id,policy,week_start_utc,queue,dedicated_staff,flex_staff,actual_intake,opening_backlog,capacity,processed,ending_backlog,older_backlog,unprocessed_share
0-0-75,fixed,2025-06-23,billing,0,0,1510,0,0,0,1510,0,1.0
0-0-75,fixed,2025-06-23,technical,0,0,1591,0,0,0,1591,0,1.0
0-0-75,fixed,2025-06-23,privacy,0,0,152,0,0,0,152,0,1.0
0-0-75,fixed,2025-06-30,billing,0,0,1238,1510,0,0,2748,1510,1.0
0-0-75,fixed,2025-06-30,technical,0,0,1356,1591,0,0,2947,1591,1.0
0-0-75,fixed,2025-06-30,privacy,0,0,123,152,0,0,275,152,1.0
0-0-75,fixed,2025-07-07,billing,0,0,1572,2748,0,0,4320,2748,1.0
0-0-75,fixed,2025-07-07,technical,0,0,1490,2947,0,0,4437,2947,1.0
0-0-75,fixed,2025-07-07,privacy,0,0,128,275,0,0,403,275,1.0
0-0-75,fixed,2025-07-14,billing,0,0,1393,4320,0,0,5713,4320,1.0
0-0-75,fixed,2025-07-14,technical,0,0,1449,4437,0,0,5886,4437,1.0
0-0-75,fixed,2025-07-14,privacy,0,0,134,403,0,0,537,403,1.0
0-0-75,fixed,2025-07-21,billing,0,0,1441,5713,0,0,7154,5713,1.0
0-0-75,fixed,2025-07-21,technical,0,0,1416,5886,0,0,7302,5886,1.0
0-0-75,fixed,2025-07-21,privacy,0,0,146,537,0,0,683,537,1.0
0-0-75,fixed,2025-07-28,billing,0,0,1549,7154,0,0,8703,7154,1.0
0-0-75,fixed,2025-07-28,technical,0,0,1452,7302,0,0,8754,7302,1.0
0-0-75,fixed,2025-07-28,privacy,0,0,158,683,0,0,841,683,1.0
0-0-75,fixed,2025-08-04,billing,0,0,1592,8703,0,0,10295,8703,1.0
0-0-75,fixed,2025-08-04,technical,0,0,1516,8754,0,0,10270,8754,1.0
0-0-75,fixed,2025-08-04,privacy,0,0,172,841,0,0,1013,841,1.0
0-0-75,fixed,2025-08-11,billing,0,0,1442,10295,0,0,11737,10295,1.0
